"id","RI","Raw.file","celltype","lcbatch","sortday","digest","cvm"
"i170","Reporter.intensity.corrected.10","XwAL00120","BxPC3","D","B","C",0.308219268145118
"i171","Reporter.intensity.corrected.11","XwAL00120","BxPC3","D","B","C",0.258002516394082
"i172","Reporter.intensity.corrected.12","XwAL00120","BxPC3","D","B","C",0.260637263640141
"i173","Reporter.intensity.corrected.13","XwAL00120","control","D","B","C",0.766950877601246
"i174","Reporter.intensity.corrected.14","XwAL00120","HPAFII","D","B","C",0.308096446496753
"i175","Reporter.intensity.corrected.15","XwAL00120","HPAFII","D","B","C",0.30200102955399
"i176","Reporter.intensity.corrected.16","XwAL00120","HPAFII","D","B","C",0.628683185026395
"i181","Reporter.intensity.corrected.5","XwAL00121","CFPACI","D","B","C",0.322590336199901
"i182","Reporter.intensity.corrected.6","XwAL00121","CFPACI","D","B","C",0.291227607222638
"i183","Reporter.intensity.corrected.7","XwAL00121","CFPACI","D","B","C",0.328818421326367
"i184","Reporter.intensity.corrected.8","XwAL00121","CFPACI","D","B","C",0.316705668059322
"i185","Reporter.intensity.corrected.9","XwAL00121","BxPC3","D","B","C",0.744739666878115
"i186","Reporter.intensity.corrected.10","XwAL00121","BxPC3","D","B","C",0.309553010184829
"i187","Reporter.intensity.corrected.11","XwAL00121","BxPC3","D","B","C",0.270364028628907
"i188","Reporter.intensity.corrected.12","XwAL00121","control","D","B","C",0.727735051986543
"i189","Reporter.intensity.corrected.13","XwAL00121","HPAFII","D","B","C",0.31962144107584
"i190","Reporter.intensity.corrected.14","XwAL00121","HPAFII","D","B","C",0.272344263117812
"i191","Reporter.intensity.corrected.15","XwAL00121","HPAFII","D","B","C",0.309214341416398
"i192","Reporter.intensity.corrected.16","XwAL00121","HPAFII","D","B","C",0.280683997754709
"i197","Reporter.intensity.corrected.5","XwAL00122","CFPACI","D","B","C",0.316216750142951
"i198","Reporter.intensity.corrected.6","XwAL00122","CFPACI","D","B","C",0.298227715287852
"i199","Reporter.intensity.corrected.7","XwAL00122","CFPACI","D","B","C",0.297218567813632
"i200","Reporter.intensity.corrected.8","XwAL00122","BxPC3","D","B","C",0.320322404335172
"i201","Reporter.intensity.corrected.9","XwAL00122","BxPC3","D","B","C",0.273937813559609
"i202","Reporter.intensity.corrected.10","XwAL00122","BxPC3","D","B","C",0.296790627753336
"i203","Reporter.intensity.corrected.11","XwAL00122","control","D","B","C",0.752317731072557
"i204","Reporter.intensity.corrected.12","XwAL00122","HPAFII","D","B","C",0.34074900796886
"i205","Reporter.intensity.corrected.13","XwAL00122","HPAFII","D","B","C",0.330438499079451
"i206","Reporter.intensity.corrected.14","XwAL00122","HPAFII","D","B","C",0.299499925966973
"i207","Reporter.intensity.corrected.15","XwAL00122","HPAFII","D","B","C",0.34803110753082
"i208","Reporter.intensity.corrected.16","XwAL00122","CFPACI","D","B","C",0.293567611019972
"i21","Reporter.intensity.corrected.5","XwAL00092","HPAFII","A","B","C",0.25939666406207
"i213","Reporter.intensity.corrected.5","XwAL00123","CFPACI","D","B","C",0.303135392444279
"i214","Reporter.intensity.corrected.6","XwAL00123","CFPACI","D","B","C",0.263848101451598
"i215","Reporter.intensity.corrected.7","XwAL00123","BxPC3","D","B","C",0.268511015470194
"i216","Reporter.intensity.corrected.8","XwAL00123","BxPC3","D","B","C",0.329881022436695
"i217","Reporter.intensity.corrected.9","XwAL00123","BxPC3","D","B","C",0.319458334618287
"i218","Reporter.intensity.corrected.10","XwAL00123","control","D","B","C",0.68311360457085
"i219","Reporter.intensity.corrected.11","XwAL00123","HPAFII","D","B","C",0.298731813056275
"i22","Reporter.intensity.corrected.6","XwAL00092","CFPACI","A","B","C",0.231788663018156
"i220","Reporter.intensity.corrected.12","XwAL00123","HPAFII","D","B","C",0.264433644968993
"i221","Reporter.intensity.corrected.13","XwAL00123","HPAFII","D","B","C",0.243122324304176
"i222","Reporter.intensity.corrected.14","XwAL00123","HPAFII","D","B","C",0.44200166504929
"i223","Reporter.intensity.corrected.15","XwAL00123","CFPACI","D","B","C",0.304835505258114
"i224","Reporter.intensity.corrected.16","XwAL00123","CFPACI","D","B","C",0.324402790291536
"i229","Reporter.intensity.corrected.5","XwAL00124","HPAFII","D","B","C",0.315874085248776
"i23","Reporter.intensity.corrected.7","XwAL00092","CFPACI","A","B","C",0.230308730945641
"i230","Reporter.intensity.corrected.6","XwAL00124","HPAFII","D","B","C",0.344141856019266
"i231","Reporter.intensity.corrected.7","XwAL00124","HPAFII","D","B","C",0.340197704072307
"i232","Reporter.intensity.corrected.8","XwAL00124","CFPACI","D","B","C",0.307407675232895
"i233","Reporter.intensity.corrected.9","XwAL00124","CFPACI","D","B","C",0.304187920893722
"i234","Reporter.intensity.corrected.10","XwAL00124","CFPACI","D","B","C",0.358146094174161
"i235","Reporter.intensity.corrected.11","XwAL00124","CFPACI","D","B","C",0.358479237934544
"i236","Reporter.intensity.corrected.12","XwAL00124","BxPC3","D","B","C",0.307477498963423
"i237","Reporter.intensity.corrected.13","XwAL00124","BxPC3","D","B","C",0.311739657145874
"i238","Reporter.intensity.corrected.14","XwAL00124","BxPC3","D","B","C",0.301379481654083
"i239","Reporter.intensity.corrected.15","XwAL00124","BxPC3","D","B","C",0.303993784431529
"i24","Reporter.intensity.corrected.8","XwAL00092","CFPACI","A","B","C",0.240900658692811
"i240","Reporter.intensity.corrected.16","XwAL00124","control","D","B","C",0.674292732395046
"i245","Reporter.intensity.corrected.5","XwAL00125","HPAFII","D","B","C",0.340742208606413
"i246","Reporter.intensity.corrected.6","XwAL00125","HPAFII","D","B","C",0.338448907906972
"i247","Reporter.intensity.corrected.7","XwAL00125","HPAFII","D","B","C",0.279280648746282
"i248","Reporter.intensity.corrected.8","XwAL00125","CFPACI","D","B","C",0.324536645763169
"i249","Reporter.intensity.corrected.9","XwAL00125","CFPACI","D","B","C",0.306504828142091
"i25","Reporter.intensity.corrected.9","XwAL00092","BxPC3","A","B","C",0.234191543318297
"i250","Reporter.intensity.corrected.10","XwAL00125","CFPACI","D","B","C",0.809278605094685
"i251","Reporter.intensity.corrected.11","XwAL00125","CFPACI","D","B","C",0.311669756727781
"i252","Reporter.intensity.corrected.12","XwAL00125","BxPC3","D","B","C",0.293357370383908
"i253","Reporter.intensity.corrected.13","XwAL00125","BxPC3","D","B","C",0.294359159808029
"i254","Reporter.intensity.corrected.14","XwAL00125","BxPC3","D","B","C",0.662098357138415
"i255","Reporter.intensity.corrected.15","XwAL00125","BxPC3","D","B","C",0.324173945529632
"i256","Reporter.intensity.corrected.16","XwAL00125","control","D","B","C",0.596333604904768
"i26","Reporter.intensity.corrected.10","XwAL00092","BxPC3","A","B","C",0.246831558877405
"i261","Reporter.intensity.corrected.5","XwAL00126","HPAFII","D","B","C",0.34719255048287
"i262","Reporter.intensity.corrected.6","XwAL00126","HPAFII","D","B","C",0.260357451628137
"i263","Reporter.intensity.corrected.7","XwAL00126","HPAFII","D","B","C",0.277750543287036
"i264","Reporter.intensity.corrected.8","XwAL00126","CFPACI","D","B","C",0.414367204771247
"i265","Reporter.intensity.corrected.9","XwAL00126","CFPACI","D","B","C",0.26311955259563
"i266","Reporter.intensity.corrected.10","XwAL00126","CFPACI","D","B","C",0.347311646781762
"i267","Reporter.intensity.corrected.11","XwAL00126","CFPACI","D","B","C",0.330657155916927
"i268","Reporter.intensity.corrected.12","XwAL00126","BxPC3","D","B","C",0.309840204077393
"i269","Reporter.intensity.corrected.13","XwAL00126","BxPC3","D","B","C",0.310764303060002
"i27","Reporter.intensity.corrected.11","XwAL00092","BxPC3","A","B","C",0.258079977670849
"i270","Reporter.intensity.corrected.14","XwAL00126","BxPC3","D","B","C",0.287976483384196
"i271","Reporter.intensity.corrected.15","XwAL00126","BxPC3","D","B","C",0.325277153455101
"i272","Reporter.intensity.corrected.16","XwAL00126","control","D","B","C",0.625082470635961
"i277","Reporter.intensity.corrected.5","XwAL00127","HPAFII","D","B","C",0.325464628444502
"i278","Reporter.intensity.corrected.6","XwAL00127","HPAFII","D","B","C",0.32029868279245
"i279","Reporter.intensity.corrected.7","XwAL00127","HPAFII","D","B","C",0.290435181797585
"i28","Reporter.intensity.corrected.12","XwAL00092","BxPC3","A","B","C",0.231342693980363
"i280","Reporter.intensity.corrected.8","XwAL00127","CFPACI","D","B","C",0.329825562610913
"i281","Reporter.intensity.corrected.9","XwAL00127","CFPACI","D","B","C",0.714690461023102
"i282","Reporter.intensity.corrected.10","XwAL00127","CFPACI","D","B","C",0.379747642077108
"i283","Reporter.intensity.corrected.11","XwAL00127","BxPC3","D","B","C",0.297919463022407
"i284","Reporter.intensity.corrected.12","XwAL00127","BxPC3","D","B","C",0.301100174500573
"i285","Reporter.intensity.corrected.13","XwAL00127","BxPC3","D","B","C",0.367363503286782
"i286","Reporter.intensity.corrected.14","XwAL00127","BxPC3","D","B","C",0.316847397598759
"i287","Reporter.intensity.corrected.15","XwAL00127","control","D","B","C",0.546499706403116
"i288","Reporter.intensity.corrected.16","XwAL00127","HPAFII","D","B","C",0.287577565871158
"i29","Reporter.intensity.corrected.13","XwAL00092","control","A","B","C",0.796801036760324
"i293","Reporter.intensity.corrected.5","XwAL00129","HPAFII","D","B","C",0.323219835214289
"i294","Reporter.intensity.corrected.6","XwAL00129","CFPACI","D","B","C",0.399524690797731
"i295","Reporter.intensity.corrected.7","XwAL00129","CFPACI","D","B","C",0.265861832110903
"i296","Reporter.intensity.corrected.8","XwAL00129","CFPACI","D","B","C",0.323986556305112
